Year,BEDROOMS,TOILETS,HOUSE_TYPE,LOCATION,Predicted_Price
2025,4,5,apartment,Ikeja,1900334
2025,4,5,DETACHED DUPLEX,Ogba,4178070
2025,4,5,detached duplex,Ajah,2769218
2025,4,5,apartment,Ayobo,2394929
2025,4,5,TERRACED DUPLEX,Amuwo Odofin,4302448
2025,4,5,apartment,Magodo,3525936
2025,4,5,terraced duplex,Shomolu,1862102
2025,4,5,BUNGALOW,Ilupeju,-510651
2025,4,5,DETACHED DUPLEX,Agege,3632947
2025,4,5,terraced bungalow,Isheri North,2365464
2025,4,4,MASSIONETTE,Akowonjo,2224202
2025,4,5,BUNGALOW,Egbeda,5777572
2025,4,3,DETACHED BUNGALOW,Lekki,2554234
2025,4,5,semi-detached bungalow,Ikorodu,5492026
2025,4,5,semi-detached bungalow,other,1648900
2025,4,5,semi-detached duplex,Ikoyi,1808661
2025,4,5,TERRACED DUPLEX,Ikeja,785288
2025,4,5,detached duplex,Amuwo Odofin,3392710
2025,4,5,MASSIONETTE,Ipaja,2545907
2025,4,5,semi-detached duplex,Ketu,1662778
2025,4,5,terraced duplex,Maryland,3935971
2025,4,4,DETACHED BUNGALOW,Oshodi,1932458
2025,4,5,terraced duplex,Ikorodu,1323490
2025,4,5,DETACHED BUNGALOW,Ikoyi,1854098
2025,4,4,BUNGALOW,Gbagada,756145
2025,4,5,APARTMENT,Ojodu,2791358
2025,4,5,TERRACED BUNGALOW,Amuwo Odofin,1904099
2025,4,5,HOUSE,Shomolu,2056514
2025,4,5,detached duplex,Magodo,1276428
2025,4,4,MASSIONETTE,Egbeda,5579739
2025,4,4,TERRACED DUPLEX,Badagry,1703444
2025,4,5,BUNGALOW,Magodo,2394929
2025,4,5,detached duplex,Sangotedo,2463874
2025,4,5,terraced duplex,Ikotun-Igando,2394929
2025,4,5,detached bungalow,Maryland,3122486
2025,4,5,semi-detached duplex,Ikorodu,2241302
2025,4,5,DETACHED BUNGALOW,Ketu,3547416
2025,4,5,apartment,Ogba,7521974
2025,5,6,DETACHED BUNGALOW,Victoria Island,11858481
2025,5,5,TERRACED DUPLEX,Ogudu,4770751
2025,5,5,detached duplex,Ejigbo,3989398
2025,5,5,detached duplex,Shomolu,7969721
2025,5,4,terraced bungalow,Idimu,5107490
2025,5,5,TERRACED DUPLEX,Ipaja,6242566
2025,5,3,detached duplex,Shomolu,3908602
2026,1,1,detached bungalow,Badagry,-3000625
2026,1,1,detached bungalow,Abule Egba,6338683
2026,2,3,TERRACED DUPLEX,Sangotedo,777554
2026,2,3,DETACHED DUPLEX,Ojodu,651478
2026,2,3,BUNGALOW,Abule Egba,-289151
2026,2,3,terraced bungalow,Maryland,548282
2026,2,3,detached duplex,Ojodu,1996991
2026,2,3,BUNGALOW,Isolo,622677
2026,2,2,detached bungalow,Ketu,1535076
2026,2,2,MASSIONETTE,other,1477623
2026,2,2,DETACHED BUNGALOW,Ojo,1202811
2026,2,3,APARTMENT,Apapa,1078316
2026,2,3,detached duplex,Isheri North,1585650
2026,2,3,HOUSE,Isolo,1187336
2026,2,2,semi-detached bungalow,Gbagada,426884
2026,2,3,MASSIONETTE,Ikotun-Igando,2158926
2026,2,3,detached bungalow,Victoria Island,1249019
2026,2,3,semi-detached bungalow,Victoria Island,1245331
2026,2,3,apartment,Ojo,1206534
2026,2,3,TERRACED BUNGALOW,Akowonjo,518430
2026,2,3,DETACHED BUNGALOW,Ajah,679346
2026,3,4,detached duplex,Ojo,1985771
2026,3,4,BUNGALOW,Ayobo,3119183
2026,3,4,APARTMENT,Magodo,528932
2026,3,4,terraced duplex,Ago Palace-Okota,1862211
2026,3,4,apartment,Ayobo,168098
2026,3,4,TERRACED BUNGALOW,Oshodi,901153
2026,3,4,semi-detached bungalow,Ilupeju,2093258
2026,3,4,DETACHED BUNGALOW,Amuwo Odofin,1475292
2026,3,4,DETACHED BUNGALOW,Agege,2399467
2026,3,4,DETACHED DUPLEX,Ikorodu,8568396
2026,3,3,DETACHED BUNGALOW,Ilupeju,71961
2026,3,3,detached bungalow,other,275990
2026,3,4,MASSIONETTE,Oshodi,1568554
2026,3,4,detached duplex,Magodo,1271948
2026,3,4,DETACHED BUNGALOW,Ikoyi,-1447724
2026,3,4,APARTMENT,Maryland,6410882
2026,3,4,detached duplex,other,2047103
2026,3,4,TERRACED DUPLEX,other,2229654
2026,3,1,semi-detached bungalow,Gbagada,1765008
2026,3,3,terraced duplex,Ogba,2027251
2026,3,4,detached bungalow,Oshodi,3380802
2026,3,4,TERRACED BUNGALOW,Ketu,1184558
2026,3,4,DETACHED DUPLEX,Sangotedo,1264970
2026,3,4,apartment,Oshodi,1723092
2026,3,4,APARTMENT,Sangotedo,1723092
2026,4,5,terraced duplex,Alimosho,6515054
2026,4,5,detached duplex,Ilupeju,6981556
2026,4,5,TERRACED DUPLEX,Gbagada,4523251
2026,4,5,APARTMENT,Maryland,2233860
2026,4,5,TERRACED DUPLEX,Akowonjo,6388452
2026,4,5,DETACHED DUPLEX,Ajah,738664
2026,4,5,apartment,Ikeja,6968424
2026,4,5,apartment,Ilupeju,1776496
2026,4,5,BUNGALOW,Ogba,2631478
2026,4,5,TERRACED DUPLEX,Ikorodu,3305747
2026,4,5,TERRACED BUNGALOW,Alimosho,3700913
2026,4,1,DETACHED DUPLEX,Lagos Island,773303
2026,4,5,HOUSE,Sangotedo,5605500
2026,4,2,terraced bungalow,Lekki,3935192
2026,4,4,TERRACED BUNGALOW,Isheri North,1574494
2026,4,5,HOUSE,Ajah,7521974
2026,4,5,HOUSE,Ejigbo,2448286
2026,4,4,semi-detached duplex,Ojota,2414872
2026,4,5,MASSIONETTE,Isheri North,895667
2026,4,5,semi-detached duplex,Ayobo,1776496
2026,4,5,DETACHED DUPLEX,Ago Palace-Okota,3305747
2026,4,5,detached duplex,Magodo,5148301
2026,4,4,semi-detached duplex,Yaba,1013630
2026,4,5,TERRACED DUPLEX,Oshodi,2347656
2026,4,5,HOUSE,Ikoyi,1167818
2026,4,5,MASSIONETTE,Ejigbo,1817328
2026,4,5,TERRACED DUPLEX,Ayobo,1886825
2026,4,5,MASSIONETTE,Ayobo,2758692
2026,4,5,APARTMENT,Ejigbo,-170064
2026,4,5,TERRACED DUPLEX,Ago Palace-Okota,2973640
2026,4,5,terraced bungalow,Ketu,895667
2026,4,5,DETACHED BUNGALOW,Ago Palace-Okota,3153147
2026,4,5,DETACHED BUNGALOW,Ikorodu,2648638
2026,4,5,APARTMENT,Maryland,1613946
2026,4,4,HOUSE,Agege,9053300
2026,4,5,DETACHED BUNGALOW,other,1665523
2026,4,5,DETACHED BUNGALOW,Lagos Island,1893072
2026,4,5,detached bungalow,Apapa,6437019
2026,4,4,apartment,Ketu,5694500
2026,4,5,DETACHED BUNGALOW,Lagos Island,738664
2026,4,5,terraced duplex,Ketu,3122467
2026,4,5,semi-detached duplex,Isolo,2408790
2026,4,5,semi-detached duplex,Ago Palace-Okota,4133276
2026,4,5,TERRACED DUPLEX,Isheri North,3845234
2026,4,5,apartment,Ketu,9507571
2026,4,4,semi-detached bungalow,Lagos Island,3394446
2026,4,5,semi-detached duplex,Alimosho,4487858
2026,4,5,detached bungalow,Gbagada,10123290
2026,4,4,terraced bungalow,Ikotun-Igando,2335243
2026,4,5,apartment,Ipaja,2273684
2026,5,5,terraced bungalow,Oshodi,3703008
2026,5,5,TERRACED DUPLEX,Magodo,3243950
2026,5,5,DETACHED DUPLEX,Ikotun-Igando,10208768
2026,6,7,detached bungalow,Surulere,13578346
2027,1,1,semi-detached duplex,Lekki,434540
2027,1,1,TERRACED BUNGALOW,other,703604
2027,1,2,APARTMENT,Maryland,1677254
2027,2,2,terraced bungalow,Ejigbo,1138262
2027,2,3,apartment,Idimu,1439314
2027,2,3,HOUSE,Akowonjo,-377838
2027,2,3,DETACHED BUNGALOW,Ikoyi,999456
2027,2,3,terraced duplex,Surulere,5015336
2027,2,2,terraced bungalow,Ayobo,1297827
2027,2,3,terraced duplex,Shomolu,1097553
2027,2,3,DETACHED BUNGALOW,Ayobo,2144883
2027,2,3,BUNGALOW,Egbeda,2075961
2027,2,3,TERRACED BUNGALOW,Shomolu,-911405
2027,2,3,terraced duplex,Yaba,102994
2027,2,3,semi-detached bungalow,Ikorodu,736329
2027,2,3,apartment,Alimosho,1787847
2027,3,4,BUNGALOW,Amuwo Odofin,50121
2027,3,4,APARTMENT,Idimu,2816817
2027,3,3,apartment,Ketu,452086
2027,3,4,DETACHED DUPLEX,Agege,792605
2027,3,4,terraced bungalow,Lagos Island,3125810
2027,3,4,DETACHED DUPLEX,Abule Egba,2784183
2027,3,3,APARTMENT,Ketu,5963726
2027,3,4,terraced bungalow,Ejigbo,5339903
2027,3,4,DETACHED DUPLEX,Amuwo Odofin,1538514
2027,3,4,MASSIONETTE,Amuwo Odofin,145025
2027,3,4,BUNGALOW,Ikorodu,2646936
2027,3,4,detached bungalow,Badagry,1024066
2027,3,4,BUNGALOW,Amuwo Odofin,1776475
2027,3,4,terraced bungalow,Oshodi,-446276
2027,3,4,terraced bungalow,Amuwo Odofin,476522
2027,3,4,semi-detached bungalow,Sangotedo,-104695
2027,3,4,semi-detached bungalow,Sangotedo,2514332
2027,3,4,terraced bungalow,Akowonjo,1765752
2027,3,4,DETACHED DUPLEX,Lekki,1474245
2027,3,4,TERRACED BUNGALOW,Idimu,-91691
2027,3,4,detached duplex,Ilupeju,1694649
2027,3,4,DETACHED BUNGALOW,Shomolu,-527741
2027,3,4,DETACHED BUNGALOW,Apapa,1225382
2027,3,2,TERRACED BUNGALOW,Isolo,994097
2027,3,4,BUNGALOW,other,5969923
2027,3,4,BUNGALOW,Gbagada,3164824
2027,3,5,HOUSE,Ketu,9143539
2027,3,4,HOUSE,Abule Egba,1103493
2027,3,4,APARTMENT,Ojodu,1681625
2027,3,3,terraced bungalow,Ojo,390011
2027,4,5,detached bungalow,Maryland,2566147
2027,4,5,terraced duplex,Sangotedo,5799100
2027,4,4,semi-detached duplex,Victoria Island,4031332
2027,4,5,MASSIONETTE,Ikoyi,65343
2027,4,4,detached duplex,Lagos Island,98374
2027,4,4,MASSIONETTE,Ikorodu,1647812
2027,4,5,DETACHED DUPLEX,Badagry,3160065
2027,4,5,terraced bungalow,Idimu,3252646
2027,4,5,TERRACED BUNGALOW,Shomolu,2609526
2027,4,5,apartment,Isheri North,950481
2027,4,5,TERRACED BUNGALOW,Agege,11740115
2027,4,5,APARTMENT,Isolo,2841227
2027,4,5,TERRACED BUNGALOW,Ojota,3887321
2027,4,5,TERRACED BUNGALOW,Isolo,13792090
2027,4,5,TERRACED BUNGALOW,Ikeja,8904305
2027,4,5,TERRACED BUNGALOW,Isheri North,2192326
2027,4,5,APARTMENT,Gbagada,785288
2027,4,5,APARTMENT,Gbagada,5608460
2027,4,4,detached bungalow,Ago Palace-Okota,16764468
2027,4,5,DETACHED DUPLEX,Ojodu,3139406
2027,4,5,semi-detached duplex,Magodo,3001110
2027,4,5,BUNGALOW,Victoria Island,1610558
2027,4,5,MASSIONETTE,Ojo,3102220
2027,4,5,HOUSE,Shomolu,2197294
2027,4,5,terraced bungalow,Ikotun-Igando,6722422
2027,4,5,APARTMENT,Akowonjo,4053990
2027,4,5,apartment,Ago Palace-Okota,3547416
2027,4,5,DETACHED DUPLEX,Surulere,1476681
2027,4,5,semi-detached duplex,Idimu,2355063
2027,4,5,terraced duplex,Ojodu,3160065
2027,4,5,DETACHED DUPLEX,Victoria Island,1904099
2027,4,5,terraced duplex,Egbeda,5571548
2027,4,5,DETACHED BUNGALOW,Sangotedo,1476978
2027,4,5,BUNGALOW,other,1523380
2027,4,4,APARTMENT,Ikeja,3311995
2027,4,5,apartment,Ilupeju,1194593
2027,4,5,detached bungalow,Ojo,7307504
2027,4,5,MASSIONETTE,Ejigbo,5777572
2027,4,4,apartment,Ogba,2699631
2027,4,5,terraced bungalow,Ikoyi,13286942
2027,4,5,HOUSE,Alimosho,3392710
2027,4,5,MASSIONETTE,Isolo,2347656
2027,4,5,DETACHED DUPLEX,Ajah,1513949
2027,4,5,HOUSE,Ayobo,2841227
2027,4,4,TERRACED DUPLEX,Badagry,2295865
2027,4,5,terraced duplex,Gbagada,1237366
2027,4,5,detached bungalow,Ejigbo,2797161
2027,4,5,terraced duplex,Isolo,2188220
2027,5,6,semi-detached duplex,Apapa,11340439
2027,5,5,TERRACED BUNGALOW,other,3132084
2027,5,6,HOUSE,Gbagada,11789633
2027,5,6,detached bungalow,Shomolu,11444216
2027,5,6,semi-detached duplex,Yaba,12583529
2027,5,5,TERRACED BUNGALOW,Isolo,4946866
2028,1,2,terraced bungalow,Magodo,474748
2028,1,1,detached bungalow,Egbeda,1274401
2028,1,1,BUNGALOW,Ikotun-Igando,1267414
2028,2,2,APARTMENT,Ikorodu,1420550
2028,2,3,APARTMENT,Gbagada,733949
2028,2,3,apartment,Ojodu,2405122
2028,2,3,HOUSE,Ojo,826185
2028,2,3,detached duplex,other,753208
2028,2,3,terraced duplex,Sangotedo,2061674
2028,2,2,TERRACED BUNGALOW,Isolo,1561097
2028,2,3,detached duplex,Ajah,1295104
2028,2,3,detached bungalow,Abule Egba,1584512
2028,2,2,TERRACED BUNGALOW,Lagos Island,712833
2028,2,3,terraced bungalow,Ilupeju,2079063
2028,2,3,BUNGALOW,Oshodi,1373267
2028,2,3,APARTMENT,Egbeda,1543236
2028,3,4,semi-detached duplex,Ilupeju,1568735
2028,3,4,BUNGALOW,Oshodi,5719276
2028,3,4,HOUSE,Yaba,4479831
2028,3,4,APARTMENT,Ikeja,8132804
2028,3,4,TERRACED BUNGALOW,Idimu,664929
2028,3,4,DETACHED BUNGALOW,Sangotedo,1539113
2028,3,4,detached bungalow,Maryland,846330
2028,3,3,TERRACED BUNGALOW,Ojota,879553
2028,3,4,semi-detached bungalow,Oshodi,4196650
2028,3,4,detached duplex,Ipaja,7811719
2028,3,4,detached bungalow,Ojota,5107742
2028,3,4,DETACHED BUNGALOW,Shomolu,1358537
2028,3,3,terraced bungalow,Yaba,1560080
2028,3,4,TERRACED BUNGALOW,Lekki,4302560
2028,3,4,terraced duplex,Alimosho,894426
2028,3,4,detached bungalow,Idimu,1854335
2028,3,3,detached bungalow,Egbeda,6327732
2028,3,4,BUNGALOW,Ayobo,854600
2028,3,4,TERRACED BUNGALOW,Shomolu,1385560
2028,3,3,semi-detached bungalow,Ojo,4916208
2028,3,3,semi-detached duplex,Ikorodu,1082318
2028,3,4,DETACHED DUPLEX,Akowonjo,1794136
2028,4,5,DETACHED DUPLEX,Surulere,2011026
2028,4,5,terraced bungalow,Ikoyi,3246481
2028,4,5,terraced bungalow,Ilupeju,754254
2028,4,5,semi-detached bungalow,Sangotedo,2197294
2028,4,4,detached bungalow,Sangotedo,1985911
2028,4,5,MASSIONETTE,Victoria Island,5124652
2028,4,5,DETACHED DUPLEX,Ago Palace-Okota,3654442
2028,4,5,TERRACED DUPLEX,Ejigbo,2797820
2028,4,5,DETACHED BUNGALOW,Lagos Island,6471082
2028,4,5,BUNGALOW,Badagry,1822413
2028,4,5,DETACHED DUPLEX,Yaba,3881674
2028,4,5,BUNGALOW,Ikotun-Igando,1900334
2028,4,5,BUNGALOW,Apapa,2379680
2028,4,5,terraced bungalow,Ayobo,2018551
2028,4,5,detached bungalow,Ipaja,8813153
2028,4,5,HOUSE,Agege,1198440
2028,4,4,semi-detached bungalow,Yaba,16764468
2028,4,5,semi-detached bungalow,Alimosho,4112302
2028,4,5,TERRACED BUNGALOW,Yaba,2669711
2028,4,5,DETACHED BUNGALOW,Egbeda,4233152
2028,4,5,detached bungalow,Lagos Island,65343
2028,4,5,terraced bungalow,other,1031365
2028,4,4,HOUSE,Ipaja,2657718
2028,4,5,detached bungalow,Agege,2149771
2028,4,5,detached bungalow,Alimosho,9507571
2028,4,5,MASSIONETTE,Idimu,2642508
2028,4,5,DETACHED DUPLEX,Ikorodu,13286942
2028,4,5,terraced duplex,Ipaja,2937005
2028,4,5,BUNGALOW,Ojodu,-243132
2028,4,5,terraced duplex,Ayobo,792679
2028,4,5,semi-detached duplex,Ketu,2054101
2028,4,5,MASSIONETTE,Ojo,351210
2028,4,5,DETACHED DUPLEX,Abule Egba,567532
2028,4,5,DETACHED BUNGALOW,Ojo,2897890
2028,4,5,MASSIONETTE,Ojota,1870167
2028,4,5,detached bungalow,Ketu,2858233
2028,4,5,DETACHED BUNGALOW,Surulere,12005417
2028,4,5,HOUSE,Ilupeju,5777572
2028,4,5,DETACHED DUPLEX,Yaba,2319547
2028,4,5,DETACHED BUNGALOW,Lagos Island,2631156
2028,4,5,MASSIONETTE,Lagos Island,2180963
2028,4,5,terraced bungalow,Ikeja,1616740
2028,4,4,DETACHED DUPLEX,Maryland,11279809
2028,4,5,detached bungalow,Lagos Island,3153147
2028,4,5,DETACHED BUNGALOW,Lekki,2678796
2028,4,5,terraced duplex,Surulere,6148967
2028,4,5,BUNGALOW,Badagry,9930819
2028,4,5,DETACHED BUNGALOW,Ilupeju,2110757
2028,4,5,MASSIONETTE,Ikotun-Igando,3160065
2028,4,5,HOUSE,Agege,3116910
2028,4,5,HOUSE,Lagos Island,1241954
2028,4,5,apartment,Alimosho,2781241
2028,4,4,DETACHED BUNGALOW,Ikoyi,1043418
2028,4,5,semi-detached bungalow,Ojodu,2439241
2028,5,5,semi-detached bungalow,Ikorodu,7966256
2028,5,5,DETACHED DUPLEX,Lekki,14712541
2028,5,5,terraced duplex,Victoria Island,1979599
2028,5,5,detached duplex,Sangotedo,3545758
2028,5,4,terraced duplex,Ago Palace-Okota,13425602
2028,5,6,terraced duplex,Ojota,14486494
2028,5,3,APARTMENT,Isheri North,4648188
2028,5,5,detached bungalow,Amuwo Odofin,3585558
2029,1,1,APARTMENT,Badagry,637488
2029,2,3,DETACHED BUNGALOW,Egbeda,1216010
2029,2,3,apartment,Surulere,706389
2029,2,3,semi-detached duplex,Isheri North,9722226
2029,2,3,detached duplex,Ogba,1274120
2029,2,3,DETACHED DUPLEX,Ejigbo,1183558
2029,2,3,apartment,Agege,378821
2029,2,3,MASSIONETTE,Ogba,2420435
2029,2,3,terraced duplex,Badagry,172892
2029,2,3,TERRACED BUNGALOW,Idimu,1187336
2029,2,3,detached duplex,Ejigbo,1605148
2029,2,3,semi-detached bungalow,Isolo,2435707
2029,2,3,HOUSE,Apapa,1585650
2029,2,3,terraced bungalow,Sangotedo,1125494
2029,2,3,TERRACED DUPLEX,Idimu,2807706
2029,2,3,HOUSE,Yaba,1364620
2029,2,3,apartment,Badagry,651478
2029,3,4,apartment,Surulere,919615
2029,3,4,detached duplex,Ojota,27897
2029,3,4,semi-detached duplex,Ikeja,1846194
2029,3,3,DETACHED BUNGALOW,Abule Egba,1049308
2029,3,4,HOUSE,Shomolu,1977580
2029,3,2,MASSIONETTE,Ikorodu,1646766
2029,3,4,TERRACED BUNGALOW,Ketu,1306253
2029,3,4,TERRACED BUNGALOW,Yaba,846330
2029,3,3,detached bungalow,Egbeda,1229296
2029,3,2,semi-detached duplex,Ojo,1018249
2029,3,2,HOUSE,other,1222718
2029,3,4,semi-detached duplex,Idimu,1600309
2029,3,4,MASSIONETTE,Isolo,2142498
2029,3,4,terraced duplex,Abule Egba,4001083
2029,3,3,semi-detached bungalow,Ojota,6001628
2029,3,4,TERRACED DUPLEX,Victoria Island,7776354
2029,3,4,detached duplex,Akowonjo,1407608
2029,3,3,detached duplex,Abule Egba,1377194
2029,3,4,APARTMENT,Ketu,1461721
2029,3,3,detached duplex,Ojota,1667524
2029,3,4,DETACHED DUPLEX,Alimosho,294458
2029,3,3,terraced bungalow,Ejigbo,2315860
2029,3,4,detached duplex,Akowonjo,2293381
2029,3,4,MASSIONETTE,Ogudu,2742428
2029,3,4,MASSIONETTE,Ikoyi,1292700
2029,4,5,apartment,Yaba,6531558
2029,4,4,DETACHED DUPLEX,Ajah,9668714
2029,4,5,MASSIONETTE,Ikotun-Igando,1735684
2029,4,5,HOUSE,Ogba,1886897
2029,4,5,APARTMENT,Ikorodu,2154400
2029,4,5,DETACHED DUPLEX,Lekki,1735684
2029,4,5,TERRACED BUNGALOW,Ikotun-Igando,3541880
2029,4,5,terraced duplex,Idimu,2797161
2029,4,5,semi-detached bungalow,Amuwo Odofin,2631900
2029,4,5,DETACHED BUNGALOW,Ikeja,1714596
2029,4,5,TERRACED BUNGALOW,Ipaja,2081716
2029,4,5,HOUSE,Shomolu,3552116
2029,4,5,terraced bungalow,Lagos Island,1801030
2029,4,5,apartment,Ojo,2462767
2029,4,5,HOUSE,Ikotun-Igando,9649921
2029,4,5,terraced bungalow,Gbagada,1355665
2029,4,5,DETACHED DUPLEX,Idimu,3139406
2029,4,5,detached duplex,Amuwo Odofin,1476978
2029,4,5,apartment,Badagry,-577232
2029,4,5,detached duplex,Ojota,2149771
2029,4,5,apartment,Surulere,2107478
2029,4,5,detached duplex,Ayobo,2394826
2029,4,5,DETACHED DUPLEX,Lekki,3632947
2029,4,5,DETACHED DUPLEX,Egbeda,2188220
2029,4,5,TERRACED BUNGALOW,Maryland,2039057
2029,4,5,detached bungalow,Lagos Island,2197294
2029,4,5,terraced bungalow,Gbagada,8904305
2029,4,5,semi-detached duplex,Idimu,2994064
2029,4,5,HOUSE,Ayobo,3508742
2029,4,5,terraced duplex,Isolo,4086570
2029,4,5,DETACHED DUPLEX,Ejigbo,9800417
2029,4,5,apartment,Amuwo Odofin,-243957
2029,4,4,TERRACED BUNGALOW,Isolo,2775332
2029,4,4,semi-detached duplex,Idimu,699913
2029,4,5,apartment,Ajah,1660726
2029,4,5,semi-detached bungalow,Abule Egba,3361378
2029,4,4,DETACHED BUNGALOW,Gbagada,3203598
2029,4,5,semi-detached duplex,Akowonjo,528827
2029,4,5,DETACHED BUNGALOW,Surulere,-243957
2029,4,5,APARTMENT,Ayobo,8573711
2029,4,5,semi-detached duplex,Ikeja,933515
2029,4,5,MASSIONETTE,Victoria Island,5988598
2029,4,5,HOUSE,Amuwo Odofin,1974262
2029,4,5,semi-detached bungalow,Isolo,2428712
2029,4,4,terraced duplex,Isheri North,9081322
2029,4,5,TERRACED DUPLEX,Ogudu,4212646
2029,4,5,terraced bungalow,Ikoyi,3230967
2029,4,5,DETACHED BUNGALOW,Isolo,2285638
2029,4,5,TERRACED BUNGALOW,Ikotun-Igando,857574
2029,4,5,MASSIONETTE,Ago Palace-Okota,2091300
2029,5,5,APARTMENT,Abule Egba,7959992
2029,5,5,terraced bungalow,Agege,5019858
2029,5,4,semi-detached bungalow,Oshodi,7707598
2029,5,5,DETACHED BUNGALOW,Idimu,3353922
2029,5,4,TERRACED DUPLEX,Amuwo Odofin,1975832
2029,5,7,HOUSE,Ojota,9664483
2029,5,6,semi-detached duplex,Ogudu,16412533
2029,9,5,semi-detached bungalow,Ago Palace-Okota,14781821
2030,1,1,detached duplex,other,314166
2030,1,1,detached bungalow,Ikotun-Igando,684236
2030,2,2,terraced bungalow,Gbagada,625270
2030,2,3,apartment,Victoria Island,1645226
2030,2,3,TERRACED BUNGALOW,Shomolu,1179378
2030,2,3,MASSIONETTE,Ogudu,375648
2030,2,3,apartment,Victoria Island,1178127
2030,2,3,apartment,Oshodi,303045
2030,2,3,APARTMENT,Badagry,1301743
2030,2,3,TERRACED BUNGALOW,Abule Egba,1525566
2030,2,3,TERRACED BUNGALOW,Surulere,1534731
2030,2,3,semi-detached duplex,Amuwo Odofin,655739
2030,2,3,TERRACED DUPLEX,Ejigbo,1632195
2030,2,3,BUNGALOW,Ilupeju,1274120
2030,2,3,TERRACED DUPLEX,Lagos Island,922210
2030,2,3,apartment,Ajah,339251
2030,2,2,TERRACED DUPLEX,other,523868
2030,2,3,APARTMENT,Ejigbo,1019257
2030,2,3,semi-detached duplex,Badagry,2395817
2030,2,3,TERRACED BUNGALOW,Victoria Island,1564216
2030,2,3,APARTMENT,Ojo,1717196
2030,2,2,detached bungalow,Amuwo Odofin,1445418
2030,2,3,semi-detached duplex,Agege,799092
2030,2,2,HOUSE,Ajah,11084751
2030,3,4,semi-detached duplex,Ipaja,2251745
2030,3,2,semi-detached bungalow,Oshodi,1575807
2030,3,4,TERRACED DUPLEX,Ikeja,1469718
2030,3,4,semi-detached duplex,Alimosho,2029380
2030,3,4,DETACHED DUPLEX,Akowonjo,967844
2030,3,4,semi-detached duplex,Ojota,1271948
2030,3,3,DETACHED DUPLEX,Lagos Island,757832
2030,3,3,BUNGALOW,Ikeja,1621189
2030,3,4,APARTMENT,Victoria Island,2165054
2030,3,4,apartment,Ago Palace-Okota,1271948
2030,3,4,TERRACED DUPLEX,other,1431730
2030,3,3,TERRACED DUPLEX,Ojodu,979387
2030,3,3,terraced bungalow,Isheri North,1217423
2030,3,3,APARTMENT,Abule Egba,3498720
2030,3,4,detached bungalow,Yaba,2052485
2030,3,3,semi-detached duplex,other,755049
